Ponto|Nome|Apelido|Texto|Descriá∆o|Exemplo|Tipo|Texto no Log|Escopo				
inicial|inicialR1|disse alo, atendeu|Disse alì|Disse alì|Alì			|Interpretar|Alì.|local	
enviarLink|enviarLinkR2|link no email tambem|Disse que tamb†m quer receber link por e-mail|Disse que tamb†m quer receber link por e-mail|Quero receber o link por e-mail tambÇm	|Interpretar|Quero receber o link por e-mail tambÇm.|global			
enviarLink|enviarLinkR3|link, prefere por outro meio|Disse para enviar link por outro meio|Disse para enviar link por outro meio|Envia por outro meio	|Interpretar|Envia o link por outro meio.|global			
enviarLink|enviarLinkR4|nao tem whatsapp|Disse que n∆o tem WhatsApp|Disse que n∆o tem WhatsApp|N∆o tenho WhatsApp	|Interpretar|N∆o tenho WhatsApp.|global			
enviarLink|enviarLinkR5|link, prefere somente por email|Disse que quer link s¢ por e-mail|Disse que quer link s¢ por e-mail|Me envia s¢ no e-mail	 Pode ser s¢ no e-mail mesmo	|Interpretar|Quero receber somente pelo e-mail.|local		
obterMotivoRecusa|obterMotivoRecusaR1|quer informar motivo|Disse que quer informar motivo|Disse que quer informar motivo|Quero informar o motivo	|Interpretar|Quero informar o motivo.|local			
obterMotivoRecusa|obterMotivoRecusaR2|nao quer informar motivo|Disse n∆o quer informar o motivo|Disse n∆o quer informar o motivo|N∆o quero informar o motivo	|Interpretar|N∆o quero informar o motivo.|local			
obterMotivoRecusa|obterMotivoRecusaR3|informou motivo de recusar|Disse motivo recusa oferta|Disse motivo recusa oferta|J† tenho cart∆o	 J† tenho cart∆o Omni	 N∆o Gosto de cart∆o de crÇdito	 Acho pouco limite inicial	 Outro|Informar Combo e Texto|(Informou motivo da recusa)|global
informar|informarR1|perguntou, telefone central atendimento|Perguntou n£mero da central de atendimento|Perguntou n£mero da central de atendimento|Qual Ç o telefone da central de atendimento?	 Qual Ç o n£mero da central de atendimento?|Interpretar Informativo|Qual Ç o n£mero da central de atendimento?|global			
informar|informarR2|perguntou, data vencimento fatura|Perguntou sobre datas de vencimento|Perguntou sobre datas de vencimento|Qual Ç a data de vencimento da fatura?	 Eu posso escolher a data de vencimento?	 Qual Ç a data de vencimento do cart∆o?|Interpretar Informativo|Qual Ç a data de vencimento do cart∆o?|global		
informar|informarR3|perguntou, tem taxa adicional|Perguntou sobre taxa adicional|Perguntou sobre taxa adicional|Tem mais alguma taxa?	 Tem taxa adicional?|Interpretar Informativo|Tem taxa adicional?|global			
informar|informarR4|perguntou, qual endereco de entrega|Perguntou para qual endereáo ser† enviado o cart∆o|Perguntou para qual endereáo ser† enviado o cart∆o|Onde vai entregar o cart∆o?	 Em qual endereáo vai entregar o cart∆o?|Interpretar Informativo|Em qual endereáo vai entregar o cart∆o?|global			
informar|informarR5|perguntou, o que eh fatura premiada|Perguntou sobre fatura premiada|Perguntou sobre fatura premiada|O que Ç fatura premiada?|Interpretar Informativo|O que Ç fatura premiada?|global				
informar|informarR6|perguntou, quando chega|Perguntou quando receber† o cart∆o|Perguntou quando receber† o cart∆o|Mas o cart∆o chega quando?	 Quando vou receber o cart∆o?|Interpretar Informativo|Quando vou receber o cart∆o?|global			
informar|informarR7|perguntou, quais outros beneficios|Perguntou sobre outros benef°cios|Perguntou sobre outros benef°cios|Tem outros benef°cios?	 Quais s∆o as vantagens do cart∆o?|Interpretar Informativo|O cart∆o tem outros benef°cios?|global			
informar|informarR8|perguntou, tem anuidade|Perguntou sobre taxa, anuidade|Perguntou sobre taxa, anuidade|Tem anuidade?|Interpretar Informativo|Tem anuidade?|global				
informar|informarR9|perguntou, telefone da ouvidoria|Perguntou n£mero da ouvidoria|Perguntou n£mero da ouvidoria|Qual Ç o telefone da ouvidoria?	 Qual Ç o n£mero da ouvidoria?|Interpretar Informativo|Qual Ç o n£mero da ouvidoria?|global			
informar|informarR10|perguntou, telefone pra deficiente auditivo|Perguntou n£mero da central de atendimento para deficientes auditivos|Perguntou n£mero da central de atendimento para deficientes auditivos|Qual Ç o n£mero para deficientes auditivos?	 Qual Ç o telefone da central de atendimento para deficientes auditivos?|Interpretar Informativo|Qual Ç o n£mero da central de atendimento para deficientes auditivos?|global			
informar|informarR11|perguntou, qual limite|Perguntou sobre valor de limite aprovado|Perguntou sobre valor de limite aprovado|Qual Ç o limite do cart∆o?	 Qual Ç o valor do limite aprovado?|Interpretar Informativo|Qual Ç o valor do limite aprovado?|global			
informar|informarR12|perguntou, qual email cadastrado|Perguntou qual e-mail cadastrado|Perguntou qual e-mail cadastrado|Qual Ç o e-mail que vocàs tem a°?	 Qual Ç o e-mail que est† no meu cadastro?|Interpretar Informativo|Qual Ç o e-mail que est† no meu cadastro?|global			
informar|informarR13|perguntou, sobre veiculo|Perguntou sobre ve°culo|Perguntou sobre ve°culo|Qual Ç o ve°culo?	|Interpretar Informativo|Qual Ç o ve°culo?|global			
informar|informarR14|perguntou, qual a bandeira|Perguntou qual a bandeira do cart∆o|Perguntou qual a bandeira do cart∆o|Qual Ç a bandeira do cart∆o?	|Interpretar Informativo|Qual Ç a bandeira do cart∆o?|global			
informar|informarR15|perguntou, eh visa|Perguntou se o cart∆o Ç Visa|Perguntou se o cart∆o Ç Visa|O cart∆o Ç visa?	|Interpretar Informativo|O cart∆o Ç Visa?|global			
informar|informarR16|perguntou, pode escolher a bandeira|Perguntou se pode escolher a bandeira|Perguntou se pode escolher a bandeira|Posso escolher a bandeira do cart∆o?	|Interpretar Informativo|Posso escolher a bandeira do cart∆o?|global			
informar|informarR17|perguntou, como ativar|Perguntou como ativar cart∆o|Perguntou como ativar cart∆o|Como posso ativar o cart∆o?	|Interpretar Informativo|Como posso ativar o cart∆o?|global			
informar|informarR18|perguntou, tem programa de pontos|Perguntou sobre programa de pontos ou fidelidade|Perguntou sobre programa de pontos ou fidelidade|Qual programa de pontos vocàs tem?	 Vocàs tem programa de pontos?	|Interpretar Informativo|Vocàs tem algum programa de pontos?|global		
informar|informarR19|perguntou, negociar parcelas financiamento|Perguntou se pode pagar parcelas atrasadas do financiamento no cart∆o|Perguntou se pode pagar parcelas atrasadas do financiamento no cart∆o|Posso pagar minhas parcelas atrasadas no cart∆o?|Interpretar Informativo|Posso pagar minhas parcelas atrasadas no cart∆o?|global				
informar|informarR20|perguntou, pagamento minimo da fatura|Perguntou qualˇpagamento m°nimo da fatura|Perguntou qualˇpagamento m°nimo da fatura|Qual o pagamento m°nimo da fatura?	|Interpretar Informativo|Qual o pagamento m°nimo da fatura?|global			
informar|informarR21|perguntou, tem cartao digital|Perguntou sobre cart∆o digital|Perguntou sobre cart∆o digital|Tem cart∆o digital?	|Interpretar Informativo|Tem cart∆o digital?|global			
informar|informarR22|perguntou, posso comprar pela internet|Perguntou sobre compras na internet|Perguntou sobre compras na internet|Posso fazer compras na internet?	|Interpretar Informativo|Posso fazer compras na internet?|global			
informar|informarR23|perguntou, bloqueio compra online|Perguntou como fazer bloqueio de compra online|Perguntou como fazer bloqueio de compra online|Como faáo o bloqueio de compra online?	|Interpretar Informativo|Como faáo o bloqueio de compra online?|global			
informar|informarR24|perguntou, tem chip|Perguntou se o cart∆o tem chip|Perguntou se o cart∆o tem chip|O cart∆o tem chip?	|Interpretar Informativo|O cart∆o tem chip?|global			
informar|informarR25|perguntou, eh internacional|Perguntou se o cart∆o Ç internacional ou nacional|Perguntou se o cart∆o Ç internacional ou nacional|O cart∆o Ç nacional?	|Interpretar Informativo|O cart∆o Ç internacional?|global			
informar|informarR26|perguntou, como ter limite maior|Perguntou qual o maior limite do cart∆o|Perguntou qual o maior limite do cart∆o|Qual o maior limite no cart∆o?	|Interpretar Informativo|Como posso ter um limite maior?|global			
informar|informarR27|perguntou, pode abaixar limite|Perguntou qual o menor limite do cart∆o|Perguntou qual o menor limite do cart∆o|Qual o menor limite do cart∆o?	|Interpretar Informativo|Qual o menor limite do cart∆o?|global			
informar|informarR28|perguntou, como cancelar|Perguntou sobre o cancelamento|Perguntou sobre o cancelamento|Como funciona o cancelamento?	|Interpretar Informativo|Como funciona o cancelamento?|global			
informar|informarR29|perguntou, quem eh omni|Perguntou quem Ç Omni|Perguntou quem Ç Omni|Quem Ç Omni?	|Interpretar Informativo|Quem Ç Omni?|global			
informar|informarR30|perguntou, quando chega o link|Perguntou quando chega o link|Perguntou quando chega o link|Quando chega o link?	Preciso aguardar pelo telefone?	 S¢ esperar que vocà mande mensagem?	|Interpretar Informativo|Quando chega o link?|global	
informar|informarR31|perguntou, por que adesao pelo link|Perguntou por que por link|Perguntou por que por link|Por que o cadastro Ç por link	|Interpretar Informativo|Por que o cadastro Ç por link?|global			
informar|informarR32|perguntou, tem outros produtos|Perguntou que produtos oferecemos|Perguntou que produtos oferecemos|Quais produtos vocàs trabalham?	 Quais produtos vocàs oferecem?	|Interpretar Informativo|Quais produtos vocàs oferecem?|global		
informar|informarR33|perguntou, por onde recebo o link|Perguntou por onde receber† o link|Perguntou por onde receber† o link|Por onde vocà vai me enviar o link?	|Interpretar Informativo|Por onde vocà vai me enviar o link?|global			
informar|informarR34|perguntou, envio informacao por mensagem|Perguntou se enviam informaá∆o por mensagem|Perguntou se enviam informaá∆o por mensagem|Vocà vai me enviar informaá∆o por mensagem?	|Interpretar Informativo|Vocà vai me enviar informaá∆o por mensagem?|global			
informar|informarR35|perguntou, o que eh ofertado|Perguntou sobre o que Ç ofertado|Perguntou sobre o que Ç ofertado|O que Ç ofertado?	|Interpretar Informativo|O que Ç ofertado?|global			
obterContato|obterContatoR1|mesmo numero|Disse que pode ser nesse mesmo n£mero|Disse que pode ser nesse mesmo n£mero|Pode ser no mesmo	 Pode ser nesse n£mero mesmo|Interpretar|Pode ser nesse n£mero mesmo.|local			
obterContato|obterContatoR2|outro numero|Disse para enviar em outro n£mero|Disse para enviar em outro n£mero|Manda em outro|Interpretar|Quero que mande para outro n£mero.|local				
obterContato|obterContatoR3|informou numero de telefone|Disse o n£mero do telefone|Disse o n£mero do telefone|(Informa n£mero de telefone)|Informar Texto|O n£mero Ç %valor.|local				
obterContato|obterContatoR4|nao quer informar outro numero|Disse que n∆o quer falar outro n£mero de contato|Disse que n∆o quer falar outro n£mero de contato|N∆o quero falar	 Prefiro n∆o informar	|Interpretar|Prefiro n∆o informar outro n£mero.|local		
obterContato|obterContatoR5|confirmou telefone|Disse que o telefone falado est† correto|Disse que o telefone falado est† correto|Correto	 isso mesmo	 certo	|Interpretar|Est† correto.|local	
obterContato|obterContatoR6|nao confirmou telefone|Disse que o telefone falado est† incorreto|Disse que o telefone falado est† incorreto|Est† errado	 n∆o Ç isso n∆o	|Interpretar|Est† errado.|local		
obterSugestao|obterSugestaoR1|informou o que gostaria|Disse qual produto gostaria|Disse qual produto gostaria|Outro	|Informar Combo e Texto|%valor.|global			
obterSugestao|obterSugestaoR2|nao informou o que gostaria|Disse que n∆o quer informar o que gostaria|Disse que n∆o quer informar o que gostaria|Nenhum produto	 N∆o precisa	 N∆o quero informar	|Interpretar|N∆o quero informar.|local	
obterEndereco|obterEnderecoR1|endereco, mapa|Disse endereáo com mapa|Disse endereáo com mapa|Rua Nove de Abril, 300, Graja£	 Av. Treze de maio, perto do Habib's	|Informar Endereáo com Mapa|(Endereáo obtido)|local		
obterEndereco|obterEnderecoR2|endereco, dados|Disse dados do endereáo|Disse dados do endereáo|Rua Nove de Abril, 300, Graja£	 Av. Treze de maio, perto do Habib's	|Informar Captura|(Informou dados do endereáo)|local		
obterEndereco|obterEnderecoR3|endereco confirma|Disse endereáo correto|Disse endereáo correto|Endereáo est† correto	 confirmo	|Interpretar|O endereáo est† correto.|local		
obterEndereco|obterEnderecoR4|endereco nao confirma|Disse endereáo incorreto|Disse endereáo incorreto|Est† errado	 N∆o Ç esse n∆o	|Interpretar|O endereáo est† errado.|local		
obterEndereco|obterEnderecoR5|desistiu alterar endereco|Disse que n∆o quer mais alterar o endereáo|Disse que n∆o quer mais alterar o endereáo|Pode deixar, depois eu vejo isso	 Precisa alterar n∆o	|Interpretar|N∆o quero mais alterar o endereáo.|local		
adiarLigacao|adiarLigacaoR1|informou melhor horario|Disse quando pode retornar a ligaá∆o|Disse quando pode retornar a ligaá∆o|Liga depois	 liga amanh∆	 liga as 18h	|Informar Captura|(Informou melhor momento de retorno).|global	
adiarLigacao|adiarLigacaoR2|nao informou horario|Disse que n∆o sabe quando pode retornar|Disse que n∆o sabe quando pode retornar|N∆o sei te dizer	 n∆o sei quando ele est† aqui	|Interpretar|N∆o sei te dizer.|global		
obterEmail|obterEmailR1|informou email|Disse e-mail|Disse e-mail|usuario@dominio.com	|Informar E-mail|O email Ç: %usuario@%dominio.|local			
obterEmail|obterEmailR2|confirmou email|Disse confirma e-mail|Disse confirma e-mail|Confirmo	 T† certo	|Interpretar|O e-mail est† certo.|local		
obterEmail|obterEmailR3|nao sabe email|Disse n∆o sabe e-mail|Disse n∆o sabe e-mail|N∆o sei meu e-mail	 N∆o sei dizer	|Interpretar|N∆o sei meu e-mail.|local		
obterEmail|obterEmailR4|nao confirmou email|Disse n∆o confirma e-mail|Disse n∆o confirma e-mail|Est† errado	 N∆o confirmo	|Interpretar|O e-mail est† errado.|local		
obterEmail|obterEmailR5|desistiu de informar email|Disse que desistiu de alterar ou passar um novo e-mail|Disse que desistiu de alterar ou passar um novo e-mail|N∆o quero mais alterar o e-mail	 N∆o precisa ser por e-mail n∆o, pode ser s¢ por WhatsApp mesmo	|Interpretar|N∆o precisa mais do e-mail.|local		
